"state1","state2","distance"
"Alabama","Alabama",0
"Alaska","Alabama",3476.95137323937
"Arizona","Alabama",1433.45971368726
"Arkansas","Alabama",354.170380427694
"California","Alabama",1867.24102318648
"Colorado","Alabama",1131.61342678986
"Connecticut","Alabama",986.173338784957
"Delaware","Alabama",765.184175876201
"District of Columbia","Alabama",693.655704002498
"Florida","Alabama",386.732756187787
"Georgia","Alabama",197.487842607139
"Hawaii","Alabama",4317.92577998163
"Idaho","Alabama",1691.49710632412
"Illinois","Alabama",517.784851991745
"Indiana","Alabama",491.516892313448
"Iowa","Alabama",737.939866703059
"Kansas","Alabama",759.281796213065
"Kentucky","Alabama",339.003070555922
"Louisiana","Alabama",325.7128066698
"Maine","Alabama",1278.63585237346
"Maryland","Alabama",709.247969779475
"Massachusetts","Alabama",1049.97529280923
"Michigan","Alabama",801.532788244949
"Minnesota","Alabama",1012.30752584509
"Mississippi","Alabama",165.334408519324
"Missouri","Alabama",498.158288130342
"Montana","Alabama",1551.08001501076
"Nebraska","Alabama",934.588851108412
"Nevada","Alabama",1719.88813329974
"New Hampshire","Alabama",1116.22982754012
"New Jersey","Alabama",846.736931705521
"New Mexico","Alabama",1116.19011858667
"New York","Alabama",933.246822527747
"North Carolina","Alabama",467.11299989058
"North Dakota","Alabama",1239.53095824104
"Ohio","Alabama",564.04203968874
"Oklahoma","Alabama",640.487196597186
"Oregon","Alabama",1969.55296374134
"Pennsylvania","Alabama",749.052320387981
"Rhode Island","Alabama",1039.35163180642
"South Carolina","Alabama",351.907501037721
"South Dakota","Alabama",1080.2323380151
"Tennessee","Alabama",213.954551592622
"Texas","Alabama",738.109274705891
"Utah","Alabama",1456.47806567529
"Vermont","Alabama",1090.97374872762
"Virginia","Alabama",557.099455263575
"Washington","Alabama",2024.19911730169
"West Virginia","Alabama",533.636625426879
"Wisconsin","Alabama",834.584573280651
"Wyoming","Alabama",1328.35818015858
"Alabama","Alaska",3476.95137323937
"Alaska","Alaska",0
"Arizona","Alaska",2675.27466469809
"Arkansas","Alaska",3183.97825865329
"California","Alaska",2299.90464070872
"Colorado","Alaska",2559.79842013977
"Connecticut","Alaska",3391.63587854927
"Delaware","Alaska",3458.89694201401
"District of Columbia","Alaska",3418.11158044068
"Florida","Alaska",3855.47367919592
"Georgia","Alaska",3587.48911540709
"Hawaii","Alaska",3027.57787126253
"Idaho","Alaska",1995.16869217521
"Illinois","Alaska",2985.08896532394
"Indiana","Alaska",3081.82487003195
"Iowa","Alaska",2740.60407015495
"Kansas","Alaska",2797.73643341766
"Kentucky","Alaska",3246.22637205773
"Louisiana","Alaska",3423.46523606122
"Maine","Alaska",3282.66516197301
"Maryland","Alaska",3416.54970929952
"Massachusetts","Alaska",3382.63411246696
"Michigan","Alaska",2860.14480460571
"Minnesota","Alaska",2486.02385486218
"Mississippi","Alaska",3394.03781059112
"Missouri","Alaska",2982.58736769342
"Montana","Alaska",1985.73530016159
"Nebraska","Alaska",2581.68651623078
"Nevada","Alaska",2238.4824796238
"New Hampshire","Alaska",3309.28658121628
"New Jersey","Alaska",3415.16460487368
"New Mexico","Alaska",2816.71169182644
"New York","Alaska",3233.6842799466
